text,classification 1,classification 2
watch till the end hahahaha tangina mo Karen parang ganito yun puta ka <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @Karen_Padalhin @mariahylyzett https://t.co/C96SZKBVIR,Negative statement w/o bullying intentions,Not bully
"""harap harapan ka na niloloko, tanga ka pa din?""",Negative statement with bullying intentions,Bully
tangina mo https://t.co/frIULEpSsl,Negative statement with bullying intentions,Bully
"Pray everyone. Wag natin i down si president, walang may gusto nitong nangyayare kundi mga tarantado kaya mag kaisa lang tayo.",Neutral statement,Not bully
"Lulutang talaga bigla yung mga tanga kapag may mga ganitong sitwasyon.



Auq na <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2642><U+FE0F>",Negative statement w/o bullying intentions,Not bully
aanhin ko yung walang sounds??????????????? tanga ka ba,Negative statement with bullying intentions,Bully
tangina mo bakit ang demanding mo e ang pangit mo naman magturo booo chaka gago,Negative statement with bullying intentions,Bully
ulol tangina mo bay haha,Negative statement with bullying intentions,Bully
"Bobo ka ba? Oo bobo ka nga. Samoka mang discriminate oy, ampo paka diha dong. https://t.co/mNKRwZ33bX",Negative statement with bullying intentions,Bully
ganda nung kasabay ko sa jeep tas pag uwi ko nagopen ako ig niheart nya yung mga post ko kilala nya pala ko puta kahiya tinititigan ko,Neutral statement,Not bully
"friend mo yan tanga ka daw selma???whahah #IANUBabyBump

KapusoBrigade",Negative statement w/o bullying intentions,Not bully
"Filipinos be prayin for Manchester but they be bitchin for Mindanao. oh, go fuck yourselves",Negative statement with bullying intentions,Bully
"@mjbaselonia gago ka, sakpa ko panyaga sa friday, basi palilo ko",Negative statement w/o bullying intentions,Not bully
@yobansai_ Eww wag mong i pak patayin mo nalang. Una upuan ang ipapak mo tapos langaw naman,Negative statement w/o bullying intentions,Not bully
kung kelan ko gagamitin yung newchic na eyeshadow ko na gold tsaka nawawala tangina kailangan ko yon sa 30 huhu,Negative statement w/o bullying intentions,Not bully
puta kahiya<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
": reign! tao po?

ako: *lumabas* 

: ay puta ka bakit ang taba mo?



wow thanks",Negative statement w/o bullying intentions,Not bully
"While playing Mobile Legends



Austin: Pasok kaya ako sa cellphone ko para ako nalang sisira ng tore. Tatanga kasi.

Me:

Wifi:

Electric fan:",Negative statement with bullying intentions,Bully
jusko yung feeling na nung may nasaksak sa teleserye iniyakan muna bago dalhin sa ospital :)))) bobo niyo kairita,Negative statement w/o bullying intentions,Not bully
Ayokong humantong na papatay sila ng tao kapag iba yung faith nila.,Negative statement w/o bullying intentions,Not bully
Yung pinapapili ka tapos wala dun sa pinapapili niya bobo ka ba? Sumagot ka pa tanga,Negative statement with bullying intentions,Bully
bwiset ako na nga nagsosorry hinayupak tong gagong to baka ihampas ko sayo mutor mo ngayon din gago ka <ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
Don't hit me up when its good for you who the fuck you think I am.,Negative statement w/o bullying intentions,Not bully
Baho ng paa ng katabi ko puta kaumay bes,Negative statement with bullying intentions,Bully
@Fionnuts ang bobo mo po. May action pa din tapos ganyan words mo.,Negative statement with bullying intentions,Bully
Fuck you omggg you asshole what the fuckkkk how dare you ruin my mothered land I am going to hurt you someday when your old fuck you,Negative statement with bullying intentions,Bully
Mga patagad all over my feed. Mga putangina mo pag puyo mo,Negative statement with bullying intentions,Bully
Nakakahiya ka...wala kang modo...simpleng utos lng naman yun hndi mo kailangan tratuhin ako na parang maid mo...gago ka!!!,Negative statement with bullying intentions,Bully
"Lahat nang magpapaturo dapat sakin sa stats na di na tumuloy, tangina niyo po. Pinaligo niyo lang ako hahahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Negative statement with bullying intentions,Bully
puta kalog hahaha,Negative statement w/o bullying intentions,Not bully
Putangina mo https://t.co/FXc6qAobBU,Negative statement with bullying intentions,Bully
Putangina mo. https://t.co/fOsduiS4yK,Negative statement with bullying intentions,Bully
tangina mo nalang! hahahahq,Negative statement w/o bullying intentions,Not bully
"tangina tong mga to, makapagsalita akala mo kadali dali patayin ng mga terorista! mga gago kayo kaya! aba.",Negative statement with bullying intentions,Bully
Super nakakastress na ayoko na mag nextweek anona 12hrs duty on my bday ayoko na pls patayin niyo na 'ko!?¿&amp;/@$#),Negative statement w/o bullying intentions,Not bully
ang sama ng tingin sakin ah. Siguro pinapatay mo na ko sa isip mo <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>,Negative statement w/o bullying intentions,Not bully
Ang bobo mo boi https://t.co/dnAUsGrKp6,Negative statement with bullying intentions,Bully
Muka kang asong ulol na taga sambot ng tira tira tangina mo dog <ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> hahahahahahaha.,Negative statement with bullying intentions,Bully
I miss you but fuck you.,Negative statement with bullying intentions,Bully
ao maldita na kung maldita puta niyo,Negative statement with bullying intentions,Bully
Kulang kasi isa ka sa kanila tangina mo,Negative statement with bullying intentions,Bully
kakainit ng ulo si trillanes.<ed><U+00A0><U+00BD><ed><U+00B9><U+0084> go fuck yourself. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>,Negative statement with bullying intentions,Bully
"Tita: Blah blah blah putangina niyo eh. 



Me: Tita, ikaw po ina nila.",Negative statement with bullying intentions,Bully
Oo. Putangina mo. <ed><U+00A0><U+00BD><ed><U+00B8><U+0090><ed><U+00A0><U+00BD><ed><U+00B8><U+0095> https://t.co/k1UIDialwj,Negative statement with bullying intentions,Bully
ang ganda ng ka duo ko tangina kaso yasou gamer feeder pa pabuhat puta,Negative statement with bullying intentions,Bully
"iyo na nga si kim soohyun, may pagnanasa ka pa sa crush kong blogger puta ka https://t.co/NqOezh9zV2",Negative statement with bullying intentions,Bully
"Tanga ka ba, wala ng SarBay ano pa ikinagagalit mo ulol kainis ka",Negative statement with bullying intentions,Bully
gago ka pala e,Negative statement with bullying intentions,Bully
Bakit ang tanga mo? @leahnavarro https://t.co/tdU0jaX4oq,Negative statement with bullying intentions,Bully
@iJcMndza tangina ka <U+2639><U+FE0F><U+2639><U+FE0F><U+2639><U+FE0F>,Negative statement with bullying intentions,Bully
tanga tanga kasi,Negative statement with bullying intentions,Bully
Hi finman <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> tangina mo <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BD><ed><U+00B1><U+008B> https://t.co/A6s5wanJf1,Negative statement with bullying intentions,Bully
Hala ay sge lang di man sya mapatay kay wala man Ariana sa Ang Probinsyano <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> https://t.co/TGibdcte7c,Neutral statement,Not bully
ra kag tanga putangina mo,Negative statement with bullying intentions,Bully
bat kaya di ka gumawa ng sarili mong style? nakakaputa ka e,Negative statement with bullying intentions,Bully
Sana singbagal ng oras sa province ang oras sa mnl tangina kahit tadtarin ka sana ng responsibilidad ok lang e,Negative statement w/o bullying intentions,Not bully
Dae mo sabay sabayon lalaki huhu dae man kasya gabos na boto kayan sa nguso mo puta ka stfu,Negative statement with bullying intentions,Bully
@therestlesss @mckdlrs @superjosette @Annhelss @unoaugustus patay ka mick! Hahahaha. \n/,Neutral statement,Not bully
random thought: hindi ko kaya panindigan #virginyear and #soberyear ko tangina kasalanan ni leni 'to,Negative statement with bullying intentions,Bully
Gosh pinapatay mo yata sarili mo eh,Negative statement w/o bullying intentions,Not bully
when u replied 'puta ka' instead of 'punta ka' di naman kasi ako nagmamadali mag type <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>,Neutral statement,Not bully
HAHAHAHAHAHAHHAHAHAHA nahiya tuloy ako <ed><U+00A0><U+00BD><ed><U+00B8><U+00B9><ed><U+00A0><U+00BD><ed><U+00B9><U+0088> puta ka https://t.co/M5kJsl79de,Negative statement w/o bullying intentions,Not bully
papatayin kita jan e hahaha,Negative statement w/o bullying intentions,Not bully
nagmemens yung mobile legends ko <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> bobo kakampi <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,Negative statement with bullying intentions,Bully
puta kaingay ng bata na 'to suyupin kita jan mamaya,Negative statement with bullying intentions,Bully
anak na ata si cardo ang papatay kay don emilio,Negative statement w/o bullying intentions,Not bully
"Nagcommercial lang pagkapatay kay Joaquin, nanganak na si Alyana <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #FPJAPHulingHarapan",Negative statement w/o bullying intentions,Not bully
"Nagcommercial lang pagkapatay kay Joaquin, nanganak na si Alyana <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #FPJAPBagongBuhay",Negative statement w/o bullying intentions,Not bully
tangina mo trillanes kakagigil ka,Negative statement with bullying intentions,Bully
"first of all, fuck you. 'yang mentality mo na 'yan ang isa sa mga reasons kung ba't di umuunlad ang bansa natin. https://t.co/UW3dndf6rX",Negative statement with bullying intentions,Bully
fuck yourself asshole,Negative statement with bullying intentions,Bully
@mychasaguibo_ patayin mo na ako fwend now na. Ay juk<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
"Mukhang gago ka talaga, Jess. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",Negative statement with bullying intentions,Bully
"Na aksidente na nga sila nagsisihan at away pa. tangina niyo po



#DTBYInYourSleep",Negative statement w/o bullying intentions,Not bully
@owwsiccc tangina ka @owwsiccc lagi mo nalang akong pinapasaya! Hahaahahaha leche ka! Haahahaha https://t.co/0xGeKorfPQ,Negative statement w/o bullying intentions,Not bully
tangina mo po kuya ma issue ka ay,Negative statement with bullying intentions,Bully
Naoobliga pa tuloy ako. Hay tanga mo naman kasi kat,Negative statement with bullying intentions,Bully
@emkey @Absolutalbert HAHAHAHAHAH DeDeEs tangina ka Mark,Negative statement w/o bullying intentions,Not bully
Like tangina mo Clara hahaha#AsNTM5,Negative statement w/o bullying intentions,Not bully
@ganaprilynn hahahahahhahahahahahaha tanga mo,Negative statement w/o bullying intentions,Not bully
"Me, eating, tanga mode @ SM Seaside City Cebu (Official) https://t.co/CdhUkpYjfU",Negative statement w/o bullying intentions,Not bully
tangina nilalamig na ako rito sa bus coz i forgot to bring a jacket kingina huhu,Negative statement w/o bullying intentions,Not bully
Excuse you Shikin? Catwalk na yan puta ka? Hahahaha #affected <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>,Negative statement w/o bullying intentions,Not bully
Isang saksak lang pala ng kutsilyo ang makakapatay kay Joaquin <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
tangina mo clara #antm5 HHAHAHAHAHAHAHAHAHAHAHA,Negative statement w/o bullying intentions,Not bully
"Napakagago mo po talaga Tatay Teddy



#DTBYInYourSleep",Negative statement w/o bullying intentions,Not bully
@GreysAzure mao jud wahahhahahahahahha gago kaayo,Negative statement w/o bullying intentions,Not bully
tangina ka https://t.co/PRMY6zV8Og,Negative statement with bullying intentions,Bully
naku Benjie pagnamatay k papatayin kita' kya gumising kna maawa k kay Sinag uhh #DTBYInYourSleep,Negative statement w/o bullying intentions,Not bully
tangina kase mag mamahal nalang bat sa bakla pa!!<ed><U+00A0><U+00BD><ed><U+00B8><U+0092> Ang tanga ko!,Negative statement with bullying intentions,Bully
wag mo akong idinadamay sa bwisit mong tangina mo,Negative statement with bullying intentions,Bully
Vicente the grim ripper!!! nakailang patay ka na kaw na sunod!@ellagrin @mara_kech16,Negative statement w/o bullying intentions,Not bully
Ako ako papatay kay Vicente!Asan ang baril ko?<ed><U+00A0><U+00BD><ed><U+00B8><U+0091> #DTBYInYourSleep https://t.co/k8L6gaEMJ7,Negative statement w/o bullying intentions,Not bully
"tangina mo Vicente kaw dapat mamatay sobrang sama mo, go to hell",Negative statement w/o bullying intentions,Not bully
Hay naku! Paisa lng puede? Dalang dala aq eksenang ito e! Bka pde? Ako nlng papatay kay lolo Vicente! Npka sinungaling e! #DTBYInYourSleep,Negative statement w/o bullying intentions,Not bully
"tarantado ka vicente!!!

pag nakita kita ako pupulbos sayo!!!

ilalagay kita sa hukay!!!!!<ed><U+00A0><U+00BD><ed><U+00B4><U+00AA><ed><U+00A0><U+00BD><ed><U+00B4><U+00AA><ed><U+00A0><U+00BD><ed><U+00B4><U+00AA><ed><U+00A0><U+00BD><ed><U+00B4><U+00AA>

#DTBYInYourSleep",Negative statement w/o bullying intentions,Not bully
anong klaseng lolo ka? pnapatay mo ang hindi dpat mmtay nakakamis tress ka. #DTBYInYourSleep https://t.co/UPBkBf0ZuJ,Negative statement w/o bullying intentions,Not bully
#DTBYInYourSleep patayin niyo narn sarili nyo 2days nlng ang sarap mgwala,Negative statement w/o bullying intentions,Not bully
Putangina ginagago mo kami,Negative statement with bullying intentions,Bully
"He just said ""open it"" not to ""read it"" putangina mo magkaiba yon. Akala koba matalino ka? Akala koba? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008B>",Negative statement with bullying intentions,Bully
Ayan tangina ka Clara <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #AsNTM5,Negative statement w/o bullying intentions,Not bully
so bobo kasi huhu<ed><U+00A0><U+00BD><ed><U+00B8><U+0094>,Negative statement with bullying intentions,Bully
Sino na namang Wells ang papatayin nila next season,Negative statement w/o bullying intentions,Not bully
"#DTBYInYourSleep 



Lolo Vicente si TRISH na lang patayin mo, HAPPY kami Promise !",Negative statement w/o bullying intentions,Not bully
ang bitch mo kase clara kaya ka nasa bottom 2 hehez #AsNTM5,Negative statement with bullying intentions,Bully
@bxtchitsmg na notice nako niya fuck ka gwapa hahahaha,Negative statement w/o bullying intentions,Not bully
Ka ulol mo na tao,Negative statement with bullying intentions,Bully
tangina mo lalo ako naiiyak <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @immikaycastillo,Negative statement with bullying intentions,Bully
@HaloCamsie @RaaaeeeAnn tanga kasi si alme mga kinikilos natatawa ako iba yung namumula hahaha,Negative statement w/o bullying intentions,Not bully
di ako makapagmura sa facebook. tangina kase friends ko mga teachers namen brad. hard na dis.,Negative statement with bullying intentions,Bully
@ryeeeeyr Potangina? Hahahaha tarantado ka talaga hahahahaha,Negative statement w/o bullying intentions,Not bully
ang gago mo deej <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> bat kinalimutan mo yung sukli,Negative statement with bullying intentions,Bully
Maka linte tung pinsan ko<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> puta ka,Negative statement with bullying intentions,Bully
ulol ka po di ako ka gaya ng iba jusko <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>,Negative statement with bullying intentions,Bully
tangina kasalanan ko nanaman,Negative statement w/o bullying intentions,Not bully
Hi friend putangina mo <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>,Negative statement with bullying intentions,Bully
Putangina mo din<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/o8TnNScDno,Negative statement with bullying intentions,Bully
Dami kong kagat ng lamok. Guys lamok na lang patayin niyo pls.,Neutral statement,Not bully
"ka bobo mo talaga puta. puro ka pa abs linte , di unta ka maka graduate uy yawa.",Negative statement with bullying intentions,Bully
Sagad sagaran lahat ng tao ah. Onti nalang hahaha tangina niyo po with love,Negative statement with bullying intentions,Bully
"Kasalanan ko talaga un, tanga tanga kasi ako",Negative statement w/o bullying intentions,Not bully
"NV

""Guys! 'Wag niyo akong daldalin tuwing math a. Favorite ko 'yun e.""



ulol ka <ed><U+00A0><U+00BD><ed><U+00B6><U+0095>",Negative statement with bullying intentions,Bully
tangina ka talaga hahahahahahahahahahaha @itsmerchrdcao https://t.co/hB2gWNDm6Q,Negative statement w/o bullying intentions,Not bully
We need to get out of this place soon <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>,Neutral statement,Not bully
GOODNIGHT <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>,Neutral statement,Not bully
#PrayForMarawi God save us.,Neutral statement,Not bully
MAS NAMI PA GALIBAKANAY MGA TAO DI LANG MAGPATYANAY HUHU,Neutral statement,Not bully
#PrayForMarawi #PrayForTheWorld,Neutral statement,Not bully
"Dear Mr. President, please focus on the welfare of the Filipino people in Mindanao over anything. #PrayForMarawi",Neutral statement,Not bully
Let us all unite &amp; pray for fast peaceful resolution of the crisis in Marawi.,Neutral statement,Not bully
jusq nakakatakot na :---(,Neutral statement,Not bully
"No matter who the president is, it is only imperative for him/her to declare Martial Law in times like this.",Neutral statement,Not bully
Its fine i said<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>,Neutral statement,Not bully
"dudes,Just accept that BTS won in the TOP SOCIAL ARTIST AWARD Your'e just too obvious that you are "" Inggit"" Dont evr say that wev'e cheated",Negative statement w/o bullying intentions,Not bully
@baiREENA martial law na sa buong Mindanao! Subhanallah,Neutral statement,Not bully
Miss u bigtime <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>,Neutral statement,Not bully
zzzhunga mo,Negative statement w/o bullying intentions,Not bully
Hayop https://t.co/DQzqXD6wYA,Neutral statement,Not bully
"Lord, embrace us with your peace and love <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",Neutral statement,Not bully
"I just don't know what to say. I guess, thank you so much is enough? Haha thank you again! <U+263A> @… https://t.co/o5lHHxDbwm",Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/cVvB2hNuEd,Neutral statement,Not bully
@fred_isurita Katakot pre tangina,Negative statement w/o bullying intentions,Not bully
Giblock man lagi ko nimo? @leahnavarro HAHAHAHA ULOL,Negative statement with bullying intentions,Bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0094> https://t.co/oQOblM8ulB,Neutral statement,Not bully
@ilysmvg @SuperbVicey gwapo@ni vice lakas ng dating eh. Hay,Neutral statement,Not bully
Kosa pa baaaa? Fuccccccc!,Neutral statement,Not bully
Earlier lol. https://t.co/cEWXCHt32u,Neutral statement,Not bully
Goodnight baby<ed><U+00A0><U+00BD><ed><U+00B2><U+0099> @smmendoza_,Neutral statement,Not bully
@MikeofNewYORK #FYI: Several districts in Marawi City only not the entire #Mindanao.,Neutral statement,Not bully
<U+B0B4><U+AC00> <U+C65C> ? <ed><U+00A0><U+00BD><ed><U+00B8><U+009B>,Neutral statement,Not bully
On point pre https://t.co/lw9l9foZnx,Neutral statement,Not bully
Oh my.,Neutral statement,Not bully
@chikoko_05 Ang BOKEH ra'y akoa. Haha!,Neutral statement,Not bully
uhm lol???????? Uhm wow????????????,Neutral statement,Not bully
